Cluster ID,confidence_score,,ln,dob,gn,fn,canonical_ln,canonical_dob,canonical_fn,canonical_gn
28,,0,SMITH JR,01/03/68,F,WILLIAM,,,,
29,,1,ROTHMEYER JR,01/03/68,F,WILLIAM,,,,
30,,2,ASBY JR,01/03/68,F,WILLIAM,,,,
0,0.793315,3,SALTER JR,01/03/68,F,WILLIAM,SALTER JR,01/03/68,WILLIAM,F
0,0.793315,4,SALTER JR,01/03/68,F,WILLIAM,SALTER JR,01/03/68,WILLIAM,F
3,0.79331517219543457,5,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
3,0.79331517219543457,6,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
3,0.79331517219543457,7,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
4,0.79331517219543457,8,SHAFFER JR,21/02/62,F,WILLIAM,SHAFFER JR,21/02/62,WILLIAM,F
4,0.79331517219543457,9,SHAFFER JR,21/02/62,F,WILLIAM,SHAFFER JR,21/02/62,WILLIAM,F
31,,10,BLAND III,21/02/62,F,WILLIAM,,,,
32,,11,BLAND JR,21/02/62,F,BILL,,,,
3,0.79331517219543457,12,BLAND,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
3,0.79331517219543457,13,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
2,0.79331517219543457,14,BLAND JR,08/06/54,F,WILLIAM,BLAND JR,08/06/54,WILLIAM,F
2,0.79331517219543457,15,BLAND JR,08/06/54,F,WILLIAM,BLAND JR,08/06/54,WILLIAM,F
1,0.79331517219543457,16,BLAND JR,25/10/53,F,WILLIAM,BLAND JR,25/10/53,WILLIAM,F
1,0.79331517219543457,17,BLAND JR,25/10/53,F,WILLIAM,BLAND JR,25/10/53,WILLIAM,F
33,,18,SHAFFER JR,25/10/53,F,WILLIAM,,,,
34,,19,DUNCAN JR,25/10/53,F,THOMAS,,,,
5,0.592314,20,CARLSON JR,25/10/53,F,ROY,CARLSON JR,25/10/53,ROY,F
5,0.592314,21,CARLSON JR,25/10/53,F,RON,CARLSON JR,25/10/53,ROY,F
35,,22,DUNCAN JR,25/10/53,F,ROY,,,,
7,0.89905118942260742,23,MICHAELSON,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
7,0.89905118942260742,24,MICHAELSON JR,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
7,0.89905118942260742,25,MICHAELSON,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
7,0.89905118942260742,26,MICHAELSON JR,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
36,,27,MICHAELSON JR,01/05/51,M,ROY,,,,
8,0.89905118942260742,28,MICHAELSON JR,17/06/48,M,ROY,MICHAELSON JR,17/06/48,ROY,M
8,0.89905118942260742,29,MICHAELSON JR,17/06/48,M,ROY,MICHAELSON JR,17/06/48,ROY,M
6,0.7712249755859375,30,MICHAELSON JR,09/04/47,M,ROY,MICHAELSON JR,09/04/47,ROY,M
37,,31,MICHAELSON JR,09/04/47,M,ROBERT,,,,
6,0.7712249755859375,32,MICHAELSON JR,09/04/47,M,BOB,MICHAELSON JR,09/04/47,ROY,M
9,0.771225,33,MUSTAPHA JR,11/03/47,M,OWEN,MUSTAPHA JR,11/03/47,OWEN,M
9,0.771225,34,MUSTAPHA JR,11/03/47,M,OWAN,MUSTAPHA JR,11/03/47,OWEN,M
10,0.89905118942260742,35,HOUGHTON JR,31/01/46,M,LAWRENCE,HOUGHTON JR,31/01/46,LAWRENCE,M
10,0.89905118942260742,36,HOUGHTON JR,31/01/46,M,LAWRENCE,HOUGHTON JR,31/01/46,LAWRENCE,M
10,0.89905118942260742,37,HOUGHTON JR,31/01/46,M,LAWRENCE,HOUGHTON JR,31/01/46,LAWRENCE,M
11,0.899051,38,LIND JR,31/01/46,M,LAWRENCE,LIND JR,31/01/46,LAWRENCE,M
11,0.899051,39,LIND JR,31/01/46,M,LAWRENCE,LIND JR,31/01/46,LAWRENCE,M
12,0.899051,40,LIND JR,31/01/46,M,KENNETH,LIND JR,31/01/46,KENNETH,M
12,0.899051,41,LIND JR,31/01/46,M,KENNETH,LIND JR,31/01/46,KENNETH,M
38,,42,LIND JR,20/01/46,M,JOHN,,,,
39,,43,CAIN JR,20/01/46,M,JOHN,,,,
40,,44,CLARK,09/06/45,M,JOHN,,,,
14,0.899051,45,CLARK,09/02/45,M,RONALD,CLARK,09/02/45,RONALD,M
14,0.899051,46,CLARK,09/02/45,M,DONALD,CLARK,09/02/45,RONALD,M
13,0.89905118942260742,47,CLARK,16/12/44,M,JOHN,CLARK JR,16/12/44,JOHN,M
13,0.89905118942260742,48,CLARK JR,16/12/44,M,JOHN,CLARK JR,16/12/44,JOHN,M
13,0.89905118942260742,49,CLARK JR,16/12/44,M,JOHN,CLARK JR,16/12/44,JOHN,M
16,0.89905118942260742,50,MICHAELSON JR,16/12/44,M,JOHN,MICHAELSON JR,16/12/44,JOHN,M
16,0.89905118942260742,51,MICHAELSON JR,16/12/44,M,JOHN,MICHAELSON JR,16/12/44,JOHN,M
16,0.89905118942260742,52,MICHAELSON JR,16/12/44,M,JOHN,MICHAELSON JR,16/12/44,JOHN,M
15,0.89905118942260742,53,MICHAELSON JR,24/04/40,M,JOHN,MICHAELSON JR,24/04/40,JOHN,M
15,0.89905118942260742,54,MICHAELSON JR,24/04/40,M,JOHN,MICHAELSON JR,24/04/40,JOHN,M
17,0.89905118942260742,55,MICHAELSON JR,24/06/39,M,JOHN,MICHAELSON JR,24/06/39,JOHN,M
17,0.89905118942260742,56,MICHAELSON JR,24/06/39,M,JOHN,MICHAELSON JR,24/06/39,JOHN,M
17,0.89905118942260742,57,MICHAELSON JR,24/06/39,M,JOHN,MICHAELSON JR,24/06/39,JOHN,M
18,0.899051,58,MICHAELSON JR,24/06/39,M,JAMES,MICHAELSON JR,24/06/39,JAMES,M
18,0.899051,59,MICHAELSON JR,24/06/39,M,JAMES,MICHAELSON JR,24/06/39,JAMES,M
19,0.297209,60,MICHAELSON JR,24/06/39,M,JACK,MICHAELSON JR,24/06/39,JACK,M
19,0.297209,61,MICHAELSON JR,09/06/39,M,JACK,MICHAELSON JR,24/06/39,JACK,M
20,0.899051,62,LARSON JR,09/06/39,M,HAROLD,LARSON JR,09/06/39,HAROLD,M
20,0.899051,63,LARSON JR,09/06/39,M,HAROLD,LARSON JR,09/06/39,HAROLD,M
41,,64,MUSTAPHA JR,07/10/37,M,HAROLD,,,,
42,,65,HOUGHTON JR,07/10/37,M,HAROLD,,,,
21,0.89905118942260742,66,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,67,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,68,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,69,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,70,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,71,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,72,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,73,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,0.89905118942260742,74,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
22,0.89905118942260742,75,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
22,0.89905118942260742,76,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
22,0.89905118942260742,77,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
22,0.89905118942260742,78,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
23,0.899051,79,MICHAELSON JR,07/10/37,M,HAROLD,MICHAELSON JR,07/10/37,HAROLD,M
23,0.899051,80,MICHAELSON JR,07/10/37,M,HAROLD,MICHAELSON JR,07/10/37,HAROLD,M
43,,81,SMITH JR,07/10/37,M,HAROLD,,,,
22,0.89905118942260742,82,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
22,0.89905118942260742,83,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
24,0.899051,84,FAGEN JR,07/10/37,M,HAROLD,FAGEN JR,07/10/37,HAROLD,M
24,0.899051,85,FAGEN JR,07/10/37,M,HAROLD,FAGEN JR,07/10/37,HAROLD,M
44,,86,FAGEN JR,07/10/37,M,GEORGE,,,,
