,ln,gn,fn,dob
0,SMITH JR,F,WILLIAM,1/3/68
1,ROTHMEYER JR,F,WILLIAM,1/3/68
2,ASBY JR,F,WILLIAM,1/3/68
3,SALTER JR,F,WILLIAM,1/3/68
4,MICHAELSON JR,M,ROY,1/5/51
5,FUNARO JONES,F,HARRIET,6/12/37
6,GRIFFIN JR,M,DARL,7/5/37
7,GRIFFIN JR,M,CLIFFORD,7/5/37
8,GRIFFIN JR,M,CLARENCE,7/5/37
9,MUSTAPHA JR,M,HAROLD,7/10/37
10,HOUGHTON JR,M,HAROLD,7/10/37
11,MELVIN JR,M,HAROLD,7/10/37
12,CHAVAS JR,M,HAROLD,7/10/37
13,MICHAELSON JR,M,HAROLD,7/10/37
14,SMITH JR,M,HAROLD,7/10/37
15,FAGEN JR,M,HAROLD,7/10/37
16,FAGEN JR,M,GEORGE,7/10/37
17,GRIFFIN JR,M,DARH,7/10/37
18,BLAND JR,F,WILLIAM,8/6/54
19,CLARK,M,RONALD,9/2/45
20,CLARK,M,DONALD,9/2/45
21,MICHAELSON JR,M,ROY,9/4/47
22,MICHAELSON JR,M,ROBERT,9/4/47
23,MICHAELSON JR,M,BOB,9/4/47
24,MICHAELSON JR,M,JACK,9/6/39
25,LARSON JR,M,HAROLD,9/6/39
26,CLARK,M,JOHN,9/6/45
27,GRIFFIN JR,M,DARL,10/7/37
28,MUSTAPHA JR,M,OWEN,11/3/47
29,MUSTAPHA JR,M,OWAN,11/3/47
30,GALETICH JR,M,ADDISON,15/10/32
31,CLARK,M,JOHN,16/12/44
32,MICHAELSON JR,M,JOHN,16/12/44
33,MICHAELSON JR,M,ROY,17/6/48
34,LIND JR,M,JOHN,20/1/46
35,CAIN JR,M,JOHN,20/1/46
36,BLAND JR,F,WILLIAM,21/2/62
37,SHAFFER JR,F,WILLIAM,21/2/62
38,BLAND III,F,WILLIAM,21/2/62
39,BLAND JR,F,BILL,21/2/62
40,BLAND,F,WILLIAM,21/2/62
41,MICHAELSON JR,M,JOHN,24/4/40
42,MICHAELSON JR,M,JOHN,24/6/39
43,MICHAELSON JR,M,JAMES,24/6/39
44,MICHAELSON JR,M,JACK,24/6/39
45,HANNA,M,ADDISON J,24/11/34
46,BLAND JR,F,WILLIAM,25/10/53
47,SHAFFER JR,F,WILLIAM,25/10/53
48,DUNCAN JR,F,THOMAS,25/10/53
49,CARLSON JR,F,ROY,25/10/53
50,CARLSON JR,F,RON,25/10/53
51,DUNCAN JR,F,ROY,25/10/53
52,MICHAELSON,M,ROY,25/10/53
53,HOUGHTON JR,M,LAWRENCE,31/1/46
54,LIND JR,M,LAWRENCE,31/1/46
55,LIND JR,M,KENNETH,31/1/46
