Cluster ID,confidence_score,,ln,dob,gn,fn,canonical_ln,canonical_dob,canonical_fn,canonical_gn
27,,0,SMITH JR,01/03/68,F,WILLIAM,,,,
28,,1,ROTHMEYER JR,01/03/68,F,WILLIAM,,,,
29,,2,ASBY JR,01/03/68,F,WILLIAM,,,,
0,1.0,3,SALTER JR,01/03/68,F,WILLIAM,SALTER JR,01/03/68,WILLIAM,F
0,1.0,4,SALTER JR,01/03/68,F,WILLIAM,SALTER JR,01/03/68,WILLIAM,F
3,1.0,5,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
3,1.0,6,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
3,1.0,7,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
4,1.0,8,SHAFFER JR,21/02/62,F,WILLIAM,SHAFFER JR,21/02/62,WILLIAM,F
4,1.0,9,SHAFFER JR,21/02/62,F,WILLIAM,SHAFFER JR,21/02/62,WILLIAM,F
30,,10,BLAND III,21/02/62,F,WILLIAM,,,,
31,,11,BLAND JR,21/02/62,F,BILL,,,,
3,1.0,12,BLAND,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
3,1.0,13,BLAND JR,21/02/62,F,WILLIAM,BLAND JR,21/02/62,WILLIAM,F
2,1.0,14,BLAND JR,08/06/54,F,WILLIAM,BLAND JR,08/06/54,WILLIAM,F
2,1.0,15,BLAND JR,08/06/54,F,WILLIAM,BLAND JR,08/06/54,WILLIAM,F
1,1.0,16,BLAND JR,25/10/53,F,WILLIAM,BLAND JR,25/10/53,WILLIAM,F
1,1.0,17,BLAND JR,25/10/53,F,WILLIAM,BLAND JR,25/10/53,WILLIAM,F
32,,18,SHAFFER JR,25/10/53,F,WILLIAM,,,,
33,,19,DUNCAN JR,25/10/53,F,THOMAS,,,,
5,0.7,20,CARLSON JR,25/10/53,F,ROY,CARLSON JR,25/10/53,ROY,F
5,0.7,21,CARLSON JR,25/10/53,F,RON,CARLSON JR,25/10/53,ROY,F
34,,22,DUNCAN JR,25/10/53,F,ROY,,,,
8,1.0,23,MICHAELSON,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
8,1.0,24,MICHAELSON JR,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
8,1.0,25,MICHAELSON,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
8,1.0,26,MICHAELSON JR,25/10/53,M,ROY,MICHAELSON,25/10/53,ROY,M
35,,27,MICHAELSON JR,01/05/51,M,ROY,,,,
7,1.0,28,MICHAELSON JR,17/06/48,M,ROY,MICHAELSON JR,17/06/48,ROY,M
7,1.0,29,MICHAELSON JR,17/06/48,M,ROY,MICHAELSON JR,17/06/48,ROY,M
6,0.89999997615814209,30,MICHAELSON JR,09/04/47,M,ROY,MICHAELSON JR,09/04/47,ROY,M
36,,31,MICHAELSON JR,09/04/47,M,ROBERT,,,,
6,0.89999997615814209,32,MICHAELSON JR,09/04/47,M,BOB,MICHAELSON JR,09/04/47,ROY,M
9,0.9,33,MUSTAPHA JR,11/03/47,M,OWEN,MUSTAPHA JR,11/03/47,OWEN,M
9,0.9,34,MUSTAPHA JR,11/03/47,M,OWAN,MUSTAPHA JR,11/03/47,OWEN,M
10,1.0,35,HOUGHTON JR,31/01/46,M,LAWRENCE,HOUGHTON JR,31/01/46,LAWRENCE,M
10,1.0,36,HOUGHTON JR,31/01/46,M,LAWRENCE,HOUGHTON JR,31/01/46,LAWRENCE,M
10,1.0,37,HOUGHTON JR,31/01/46,M,LAWRENCE,HOUGHTON JR,31/01/46,LAWRENCE,M
11,1.0,38,LIND JR,31/01/46,M,LAWRENCE,LIND JR,31/01/46,LAWRENCE,M
11,1.0,39,LIND JR,31/01/46,M,LAWRENCE,LIND JR,31/01/46,LAWRENCE,M
12,1.0,40,LIND JR,31/01/46,M,KENNETH,LIND JR,31/01/46,KENNETH,M
12,1.0,41,LIND JR,31/01/46,M,KENNETH,LIND JR,31/01/46,KENNETH,M
37,,42,LIND JR,20/01/46,M,JOHN,,,,
38,,43,CAIN JR,20/01/46,M,JOHN,,,,
39,,44,CLARK,09/06/45,M,JOHN,,,,
13,1.0,45,CLARK,09/02/45,M,RONALD,CLARK,09/02/45,RONALD,M
13,1.0,46,CLARK,09/02/45,M,DONALD,CLARK,09/02/45,RONALD,M
40,,47,CLARK,16/12/44,M,JOHN,,,,
14,1.0,48,CLARK JR,16/12/44,M,JOHN,CLARK JR,16/12/44,JOHN,M
14,1.0,49,CLARK JR,16/12/44,M,JOHN,CLARK JR,16/12/44,JOHN,M
15,1.0,50,MICHAELSON JR,16/12/44,M,JOHN,MICHAELSON JR,16/12/44,JOHN,M
15,1.0,51,MICHAELSON JR,16/12/44,M,JOHN,MICHAELSON JR,16/12/44,JOHN,M
15,1.0,52,MICHAELSON JR,16/12/44,M,JOHN,MICHAELSON JR,16/12/44,JOHN,M
16,1.0,53,MICHAELSON JR,24/04/40,M,JOHN,MICHAELSON JR,24/04/40,JOHN,M
16,1.0,54,MICHAELSON JR,24/04/40,M,JOHN,MICHAELSON JR,24/04/40,JOHN,M
17,1.0,55,MICHAELSON JR,24/06/39,M,JOHN,MICHAELSON JR,24/06/39,JOHN,M
17,1.0,56,MICHAELSON JR,24/06/39,M,JOHN,MICHAELSON JR,24/06/39,JOHN,M
17,1.0,57,MICHAELSON JR,24/06/39,M,JOHN,MICHAELSON JR,24/06/39,JOHN,M
18,1.0,58,MICHAELSON JR,24/06/39,M,JAMES,MICHAELSON JR,24/06/39,JAMES,M
18,1.0,59,MICHAELSON JR,24/06/39,M,JAMES,MICHAELSON JR,24/06/39,JAMES,M
41,,60,MICHAELSON JR,24/06/39,M,JACK,,,,
42,,61,MICHAELSON JR,09/06/39,M,JACK,,,,
19,1.0,62,LARSON JR,09/06/39,M,HAROLD,LARSON JR,09/06/39,HAROLD,M
19,1.0,63,LARSON JR,09/06/39,M,HAROLD,LARSON JR,09/06/39,HAROLD,M
43,,64,MUSTAPHA JR,07/10/37,M,HAROLD,,,,
44,,65,HOUGHTON JR,07/10/37,M,HAROLD,,,,
20,1.0,66,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,67,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,68,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,69,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,70,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,71,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,72,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,73,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
20,1.0,74,MELVIN JR,07/10/37,M,HAROLD,MELVIN JR,07/10/37,HAROLD,M
21,1.0,75,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
21,1.0,76,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
21,1.0,77,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
21,1.0,78,CHAVAS JR,07/10/37,M,HAROLD,CHAVAS JR,07/10/37,HAROLD,M
22,1.0,79,MICHAELSON JR,07/10/37,M,HAROLD,MICHAELSON JR,07/10/37,HAROLD,M
22,1.0,80,MICHAELSON JR,07/10/37,M,HAROLD,MICHAELSON JR,07/10/37,HAROLD,M
45,,81,SMITH JR,07/10/37,M,HAROLD,,,,
